Country,Metric,Region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,Military Expenditure,Sub-Saharan Africa,"$50,446,576.25 ","$45,036,442.92 ","$47,210,934.61 ","$65,037,565.45 ","$57,743,396.83 ","$72,517,018.89 ","$54,471,710.03 ","$54,018,162.48 ","$53,914,017.64 ","$81,936,943.67 ","$103,271,539.54 ","$70,985,221.42 ","$56,922,892.89 ","$71,989,808.01 ","$68,636,017.80 ","$71,877,874.49 ","$69,676,703.34 ","$58,932,847.76 ","$59,394,995.92 ","$66,906,090.19 ","$73,258,425.24 "
Malawi,Military Expenditure,Sub-Saharan Africa,"$14,474,120.37 ","$14,402,979.49 ","$11,727,501.44 ","$12,681,914.70 ","$14,815,169.79 ","$13,118,825.85 ","$21,965,738.58 ","$38,213,561.90 ","$31,090,549.50 ","$33,599,605.59 ","$44,464,251.40 ","$58,797,381.82 ","$49,984,217.91 ","$52,804,842.99 ","$46,155,953.69 ","$62,925,520.09 ","$49,454,513.58 ","$40,793,415.43 ","$35,748,121.99 ","$47,416,537.07 ","$58,369,173.44 "
Mali,Military Expenditure,Sub-Saharan Africa,"$41,020,286.40 ","$43,852,596.80 ","$43,681,247.68 ","$44,881,650.23 ","$49,355,225.63 ","$66,758,430.83 ","$77,420,331.83 ","$86,450,742.04 ","$96,004,895.87 ","$110,376,888.04 ","$142,919,351.06 ","$144,434,608.40 ","$146,786,545.71 ","$161,062,674.57 ","$148,865,779.87 ","$153,833,697.68 ","$218,118,382.33 ","$309,170,682.22 ","$362,398,902.20 ","$458,709,424.71 ","$495,165,301.00 "
Mauritania,Military Expenditure,Sub-Saharan Africa,"$25,610,687.83 ","$31,959,678.11 ","$37,878,312.26 ","$51,852,489.35 ","$36,281,137.41 ","$62,449,150.29 ",. .,"$66,659,636.65 ","$81,906,180.19 ",. .,"$123,323,383.84 ","$114,824,329.37 ",. .,. .,"$142,299,912.35 ","$144,215,483.47 ","$144,844,330.66 ","$132,931,217.69 ","$136,064,875.97 ","$143,769,318.59 ","$159,013,352.98 "
Mauritius,Military Expenditure,Sub-Saharan Africa,"$8,456,738.92 ","$9,040,808.71 ","$9,360,142.63 ","$8,977,215.38 ","$9,502,035.91 ","$10,882,927.44 ","$10,935,141.92 ","$10,886,148.05 ","$10,814,271.43 ","$11,632,288.74 ","$15,580,188.94 ","$15,316,115.87 ","$14,874,416.91 ","$17,512,018.39 ","$16,662,229.62 ","$23,200,896.38 ","$19,743,974.92 ","$21,065,693.01 ","$22,958,748.56 ","$23,823,068.18 ","$23,202,895.56 "
Mozambique,Military Expenditure,Sub-Saharan Africa,"$49,264,817.34 ","$56,516,191.65 ","$55,361,458.44 ","$50,619,215.98 ","$53,509,586.96 ","$59,771,342.55 ","$77,630,605.86 ","$62,247,951.09 ","$57,439,135.78 ","$68,625,364.26 ","$83,709,455.73 ","$84,302,809.40 ","$99,189,931.71 ","$118,871,183.04 ","$139,100,553.34 ","$157,892,114.36 ","$173,752,180.83 ","$119,657,390.70 ","$112,203,469.32 ","$128,320,232.40 ","$145,206,801.95 "
Namibia,Military Expenditure,Sub-Saharan Africa,"$78,912,428.46 ","$105,765,957.17 ","$92,397,796.49 ","$96,757,182.45 ","$87,992,258.58 ","$129,449,089.53 ","$166,997,177.88 ","$192,072,120.81 ","$199,559,185.12 ","$228,174,673.58 ","$266,250,021.18 ","$299,516,030.24 ","$396,539,101.41 ","$443,591,424.48 ","$412,163,503.64 ","$389,958,736.66 ","$537,453,813.34 ","$518,231,065.36 ","$425,388,449.61 ","$457,882,191.26 ","$451,546,508.81 "
Niger,Military Expenditure,Sub-Saharan Africa,"$22,035,691.04 ","$23,550,468.65 ","$20,084,946.68 ","$24,828,146.93 ","$20,660,327.01 ","$24,604,267.03 ","$31,611,724.73 ","$32,798,198.18 ",. .,. .,"$53,630,486.48 ","$53,000,300.73 ","$66,889,841.44 ","$83,947,561.38 ","$148,865,779.87 ","$106,064,286.29 ","$145,600,355.98 ",. .,"$166,192,292.33 ","$200,183,929.97 ","$229,639,906.14 "
Nigeria,Military Expenditure,Sub-Saharan Africa,"$1,149,684,729.96 ","$491,671,368.59 ","$368,644,109.46 ","$570,632,287.76 ","$896,913,201.41 ","$587,461,887.29 ","$639,990,066.82 ","$674,208,144.80 ","$776,148,058.33 ","$971,321,378.61 ","$1,615,533,210.74 ","$1,504,486,172.11 ","$1,990,099,668.66 ","$2,384,936,021.71 ","$2,316,478,199.86 ","$2,418,760,170.87 ","$2,357,665,890.90 ","$2,065,557,663.35 ","$1,723,204,266.40 ","$1,621,218,176.40 ","$2,043,051,719.22 "
Rwanda,Military Expenditure,Sub-Saharan Africa,"$87,091,837.06 ","$80,852,363.58 ","$61,329,857.12 ","$56,885,903.13 ","$51,118,614.12 ","$45,196,268.98 ","$41,215,761.05 ","$44,996,351.89 ","$54,557,648.04 ","$55,580,440.80 ","$67,660,359.62 ","$75,278,486.05 ","$74,514,417.29 ","$75,383,928.56 ","$79,793,910.09 ","$82,480,715.58 ","$90,937,755.73 ","$103,563,214.71 ","$107,278,618.69 ","$115,716,812.45 ","$118,959,174.05 "
Senegal,Military Expenditure,Sub-Saharan Africa,"$75,090,854.85 ","$78,285,006.15 ","$62,361,652.64 ","$68,891,286.82 ","$74,361,395.03 ","$96,856,503.79 ","$107,553,687.88 ","$124,403,755.30 ","$148,555,145.44 ","$192,807,975.51 ","$216,870,289.52 ","$214,824,242.99 ","$195,732,892.91 ","$230,190,350.65 ","$196,661,489.01 ","$236,737,915.96 ","$239,893,611.64 ","$214,827,965.17 ","$304,764,264.25 ","$305,441,261.62 ","$346,772,974.61 "
Seychelles,Military Expenditure,Sub-Saharan Africa,"$10,542,378.74 ","$11,090,147.46 ","$10,325,841.56 ","$11,065,396.05 ","$11,699,935.95 ","$12,239,108.86 ","$15,927,272.73 ","$14,727,272.73 ","$14,366,386.52 ","$15,176,703.39 ","$11,124,810.20 ","$8,651,202.43 ","$7,157,559.79 ","$8,712,704.95 ","$9,924,109.75 ","$13,766,451.32 ","$32,597,630.82 ","$20,616,835.38 ","$26,718,458.50 ","$22,258,545.47 ","$22,823,282.54 "
Sierra Leone,Military Expenditure,Sub-Saharan Africa,. .,. .,"$23,310,804.35 ","$29,911,134.61 ","$27,133,961.88 ","$28,467,933.59 ","$22,961,537.04 ","$23,552,130.23 ","$28,022,458.48 ","$29,076,876.18 ","$23,645,736.56 ","$26,405,564.66 ","$25,062,278.63 ","$25,476,183.91 ","$29,758,934.08 ","$31,684,939.41 ","$48,810,630.79 ","$39,226,514.27 ","$37,414,732.17 ","$39,577,826.00 ","$29,622,478.10 "
Somalia,Military Expenditure,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"$26,050,000.00 ","$60,258,000.00 ","$46,614,000.00 ","$47,706,000.00 ","$60,406,000.00 ","$61,556,000.00 "
South Africa,Military Expenditure,Sub-Saharan Africa,"$1,905,656,008.74 ","$1,738,036,625.05 ","$1,891,725,013.44 ","$1,802,262,236.36 ","$1,766,082,897.72 ","$2,574,176,278.13 ","$3,099,065,125.42 ","$3,566,963,815.37 ","$3,506,139,657.83 ","$3,525,684,243.69 ","$3,285,925,081.28 ","$3,592,687,702.02 ","$4,188,168,092.20 ","$4,594,154,077.95 ","$4,489,590,095.94 ","$4,118,208,483.43 ","$3,892,469,155.14 ","$3,488,867,947.84 ","$3,169,756,001.32 ","$3,638,936,587.91 ","$3,639,879,164.98 "
South Sudan,Military Expenditure,Sub-Saharan Africa,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"$551,454,504.43 ","$587,966,866.72 ","$896,390,706.93 ","$609,898,632.65 ","$650,910,667.82 ","$1,052,721,970.37 ","$988,225,988.70 ","$981,983,050.85 ","$1,301,525,423.73 ","$1,151,920,376.76 ","$135,338,143.59 ","$72,388,104.57 ","$59,353,054.30 "
Sudan,Military Expenditure,Sub-Saharan Africa,"$259,957,570.14 ","$429,617,897.45 ","$587,267,572.33 ","$388,091,317.42 ","$484,607,263.03 ","$398,110,221.74 ","$1,240,766,949.07 ","$1,164,995,936.06 ","$1,647,839,194.37 ","$2,427,072,594.75 ","$3,228,000,000.00 ","$3,180,483,009.73 ",. .,. .,. .,. .,. .,"$2,279,621,639.56 ","$2,748,511,976.25 ","$4,382,998,816.70 ","$1,047,878,719.99 "
eSwatini,Military Expenditure,Sub-Saharan Africa,"$25,731,330.54 ","$25,853,264.11 ","$24,471,060.53 ","$19,665,055.21 ","$18,338,440.52 ","$31,927,690.93 ","$42,695,547.31 ","$59,471,673.90 ","$58,520,575.05 ","$61,877,516.72 ","$66,657,830.20 ","$75,911,617.99 ","$102,032,174.97 ","$106,629,408.92 ","$90,639,795.27 ","$86,040,376.76 ","$81,355,330.93 ","$73,527,854.06 ","$72,447,621.01 ","$88,678,493.74 ","$87,787,078.57 "
Tanzania,Military Expenditure,Sub-Saharan Africa,"$134,276,958.07 ","$128,497,943.63 ","$135,055,952.64 ","$150,728,196.33 ","$140,753,561.77 ","$125,254,713.89 ","$127,567,862.81 ","$139,493,591.28 ","$147,417,924.75 ","$166,215,543.28 ","$194,000,300.93 ","$219,476,865.28 ","$282,725,098.81 ","$307,473,984.17 ","$359,739,418.83 ","$443,379,945.51 ","$507,287,182.59 ","$517,075,761.80 ","$544,218,297.94 ","$611,215,551.93 ","$675,475,234.08 "
Togo,Military Expenditure,Sub-Saharan Africa,. .,. .,. .,. .,. .,"$28,831,211.29 ","$31,719,621.04 ","$33,238,035.29 ",. .,. .,"$57,009,189.27 ","$55,130,817.09 ","$56,832,843.04 ","$59,018,874.00 ","$62,931,049.68 ","$72,419,237.31 ","$83,080,003.64 ","$69,977,174.74 ","$82,019,690.41 ","$88,414,114.92 ","$104,378,994.65 "
Uganda,Military Expenditure,Sub-Saharan Africa,"$154,712,531.54 ","$159,704,570.29 ","$141,303,025.88 ","$136,157,342.54 ","$142,191,594.11 ","$152,379,921.78 ","$196,015,853.73 ","$216,667,041.06 ","$218,533,948.51 ","$252,119,246.41 ","$311,856,269.33 ","$293,527,670.66 ","$608,685,868.59 ","$607,135,070.86 ","$351,838,247.04 ","$300,075,573.37 ","$325,662,842.00 ","$306,140,404.55 ","$318,551,679.28 ","$346,762,883.76 ","$408,367,566.71 "
Zambia,Military Expenditure,Sub-Saharan Africa,. .,"$56,113,432.89 ",. .,. .,. .,. .,"$98,349,404.04 ","$139,509,353.65 ","$205,852,231.57 ","$232,278,664.44 ","$278,055,135.81 ","$220,962,285.80 ","$280,187,778.55 ","$309,113,764.15 ","$346,301,423.09 ","$381,345,802.08 ","$443,604,396.03 ","$372,447,569.82 ","$299,504,759.88 ","$339,664,531.37 ","$378,025,430.96 "
Zimbabwe,Military Expenditure,Sub-Saharan Africa,"$306,000,000.00 ","$263,400,000.00 ","$346,300,000.00 ","$286,700,000.00 ","$677,000,000.00 ","$194,800,000.00 ","$256,100,000.00 ","$131,400,000.00 ","$161,700,000.00 ",. .,. .,. .,"$98,293,000.00 ","$198,438,000.00 ","$318,272,000.00 ","$356,700,000.00 ","$368,100,000.00 ","$376,677,000.00 ","$358,065,000.00 ","$340,522,000.00 ","$420,364,000.00 "
Belize,Military Expenditure,Central America and the Caribbean,. .,. .,"$7,116,125.00 ","$7,454,662.50 ","$7,829,937.50 ","$8,552,225.00 ","$9,486,150.00 ","$10,710,962.50 ","$12,283,037.50 ","$13,759,075.00 ","$18,717,737.50 ","$17,267,537.50 ","$15,337,250.00 ","$15,416,250.00 ","$15,219,125.00 ","$17,778,875.00 ","$19,916,875.00 ","$19,717,625.00 ","$21,712,887.50 ","$23,456,750.00 ","$23,083,112.50 "
Costa Rica,Military Expenditure,Central America and the Caribbean,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,Military Expenditure,Central America and the Caribbean,. .,. .,. .,. .,. .,"$296,933,962.26 ","$62,047,619.05 ","$78,557,142.86 ","$76,587,443.95 ","$83,365,638.77 ","$89,057,268.72 ","$92,462,555.07 ","$94,277,533.04 ","$93,744,493.39 ","$126,872,246.70 ","$119,383,259.91 ","$125,638,766.52 ","$118,370,044.05 ","$123,656,387.67 ","$122,552,919.01 ",. .
Dominican Rep.,Military Expenditure,Central America and the Caribbean,"$159,053,096.30 ","$175,000,467.78 ","$246,810,843.74 ","$305,900,327.99 ","$271,663,317.18 ","$155,802,495.56 ","$152,878,466.84 ","$272,200,481.14 ","$259,240,325.14 ","$274,775,680.76 ","$333,538,881.61 ","$320,855,289.21 ","$354,856,781.37 ","$348,559,830.09 ","$396,187,178.57 ","$383,380,254.07 ","$437,572,091.10 ","$458,007,157.53 ","$479,722,172.77 ","$533,077,263.06 ","$602,522,387.04 "
El Salvador,Military Expenditure,Central America and the Caribbean,"$110,830,676.16 ","$114,743,701.07 ","$110,370,320.28 ","$150,651,459.07 ","$161,700,000.00 ","$126,600,000.00 ","$128,000,000.00 ","$132,900,000.00 ","$142,100,000.00 ","$165,600,000.00 ","$173,000,000.00 ","$189,900,000.00 ","$201,000,000.00 ","$220,700,000.00 ","$224,300,000.00 ","$237,500,000.00 ","$233,900,000.00 ","$247,700,000.00 ","$247,600,000.00 ","$260,900,000.00 ","$266,460,000.00 "
Guatemala,Military Expenditure,Central America and the Caribbean,"$139,804,367.71 ","$123,754,165.19 ","$157,848,092.79 ","$196,765,577.54 ","$158,368,119.26 ","$178,771,793.95 ","$114,893,349.27 ","$104,467,679.86 ","$130,546,929.15 ","$135,925,872.83 ","$166,494,048.30 ","$147,410,544.06 ","$169,798,840.13 ","$197,433,150.68 ","$224,366,543.65 ","$249,757,853.38 ","$245,672,981.79 ","$252,455,480.64 ","$290,912,704.00 ","$275,014,798.54 ","$278,420,891.53 "
Haiti,Military Expenditure,Central America and the Caribbean,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"$51,595.85 ","$53,511.60 ","$73,562.30 ","$64,514.32 ","$73,613.49 ","$79,690.89 "
Honduras,Military Expenditure,Central America and the Caribbean,. .,. .,"$52,462,396.89 ","$62,951,976.58 ","$63,602,176.06 ","$82,195,176.79 ","$60,561,786.64 ","$62,589,274.81 ","$75,595,918.54 ","$95,924,340.17 ","$132,428,400.64 ","$156,802,557.28 ","$170,186,979.69 ","$200,358,405.89 ","$212,341,274.32 ","$294,917,779.41 ","$314,071,900.22 ","$356,259,475.52 ","$363,272,338.53 ","$398,460,128.38 ","$410,414,895.12 "
Jamaica,Military Expenditure,Central America and the Caribbean,"$47,640,218.88 ","$45,131,071.75 ","$43,566,232.49 ","$46,374,382.29 ","$56,898,147.10 ","$54,845,871.82 ","$54,533,132.23 ","$59,329,776.32 ","$72,645,523.01 ","$83,511,942.10 ","$130,699,170.65 ","$114,808,331.84 ","$115,571,395.97 ","$133,638,559.83 ","$137,635,505.67 ","$128,431,323.01 ","$121,309,728.67 ","$123,854,135.72 ","$137,649,061.82 ","$143,545,555.43 ","$207,772,685.80 "
Mexico,Military Expenditure,Central America and the Caribbean,"$2,480,943,603.57 ","$2,908,141,918.75 ","$3,323,124,172.44 ","$3,540,226,538.53 ","$3,479,509,028.62 ","$3,245,342,478.45 ","$3,129,009,392.17 ","$3,621,523,412.77 ","$4,082,501,468.00 ","$4,779,835,654.55 ","$4,939,665,938.88 ","$4,855,514,855.51 ","$5,897,198,480.53 ","$6,471,388,439.46 ","$6,978,776,718.93 ","$7,837,613,529.60 ","$8,663,381,606.17 ","$7,739,521,461.86 ","$6,019,769,275.17 ","$5,781,437,374.70 ","$6,567,509,335.99 "
Nicaragua,Military Expenditure,Central America and the Caribbean,"$26,271,274.53 ","$26,927,929.68 ","$30,825,265.68 ","$28,193,450.44 ","$34,831,910.07 ","$35,307,124.98 ","$32,628,065.16 ","$34,123,573.95 ","$37,285,145.13 ","$39,472,043.80 ","$42,659,728.78 ","$41,721,772.90 ","$44,272,442.92 ","$51,453,111.13 ","$70,132,969.80 ","$74,532,010.94 ","$81,391,931.09 ","$98,932,947.15 ","$85,073,598.44 ","$86,725,444.84 ","$81,593,932.69 "
Panama,Military Expenditure,Central America and the Caribbean,"$104,000,000.00 ","$111,600,000.00 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad & Tobago,Military Expenditure,Central America and the Caribbean,. .,. .,. .,"$13,945,440.72 ","$19,492,116.74 ","$33,736,557.00 ","$75,889,150.48 ","$97,752,858.93 ","$115,560,463.10 ","$124,750,514.77 ","$139,098,455.66 ","$138,523,710.22 ","$143,063,064.76 ","$146,080,695.24 ","$168,762,442.45 ","$211,176,025.94 ","$188,885,941.69 ","$202,106,905.46 ","$216,276,660.00 ","$202,766,994.25 ","$169,332,467.80 "
Canada,Military Expenditure,North America,"$7,748,607,984.04 ","$8,210,778,539.84 ","$8,299,385,230.72 ","$8,375,571,424.88 ","$8,495,399,281.22 ","$9,958,245,601.51 ","$11,336,489,831.06 ","$12,988,132,963.62 ","$14,809,892,802.99 ","$17,417,139,931.11 ","$19,342,058,404.56 ","$18,936,226,051.96 ","$19,315,688,825.04 ","$21,393,720,863.72 ","$20,452,107,110.97 ","$18,515,731,209.94 ","$17,853,720,278.46 ","$17,937,641,894.74 ","$17,782,775,543.07 ","$21,343,371,454.88 ","$21,620,598,711.98 "
USA,Military Expenditure,North America,"$274,278,000,000.00 ","$280,969,000,000.00 ","$301,697,000,000.00 ","$312,743,000,000.00 ","$356,720,000,000.00 ","$415,223,000,000.00 ","$464,676,000,000.00 ","$503,353,000,000.00 ","$527,660,000,000.00 ","$556,961,000,000.00 ","$621,131,000,000.00 ","$668,567,000,000.00 ","$698,180,000,000.00 ","$711,338,000,000.00 ","$684,780,000,000.00 ","$639,704,000,000.00 ","$609,914,000,000.00 ","$596,104,639,000.00 ","$600,106,443,000.00 ","$605,802,927,000.00 ","$648,798,273,000.00 "
Argentina,Military Expenditure,South America,"$3,398,699,349.67 ","$3,461,730,865.43 ","$3,266,633,316.66 ","$3,183,591,795.90 ","$1,114,172,482.91 ","$1,374,873,734.33 ","$1,465,809,188.25 ","$1,699,579,151.83 ","$1,847,553,129.84 ","$2,296,448,241.89 ","$2,788,980,204.57 ","$2,981,852,290.09 ","$3,475,348,407.46 ","$4,051,930,104.57 ","$4,563,217,858.77 ","$5,137,974,300.97 ","$4,979,442,724.46 ","$5,482,616,700.96 ","$4,509,647,660.05 ","$5,459,643,672.45 ","$4,144,991,771.42 "
Bolivia,Military Expenditure,South America,"$228,677,000.36 ","$176,744,242.06 ","$173,245,422.52 ","$184,397,571.03 ","$160,437,935.84 ","$173,431,324.80 ","$168,881,603.07 ","$169,262,316.42 ","$179,525,489.23 ","$221,280,687.79 ","$327,194,708.16 ","$345,777,777.78 ","$327,413,146.12 ","$403,568,566.06 ","$499,870,043.42 ","$564,409,840.81 ","$625,885,094.07 ","$575,524,224.94 ","$552,381,263.90 ","$574,070,189.62 ","$618,842,083.15 "
Brazil,Military Expenditure,South America,"$14,357,357,046.84 ","$9,866,973,918.51 ","$11,344,032,534.90 ","$10,930,231,568.37 ","$9,664,561,903.33 ","$8,392,905,884.03 ","$9,780,111,585.17 ","$13,588,619,736.36 ","$16,404,867,307.49 ","$20,485,758,014.65 ","$24,452,903,035.82 ","$25,648,809,910.82 ","$34,002,944,470.02 ","$36,936,209,895.81 ","$33,987,005,074.06 ","$32,874,787,230.59 ","$32,659,614,240.80 ","$24,617,701,683.07 ","$24,224,746,901.47 ","$29,283,050,314.47 ","$27,766,427,104.01 "
Chile,Military Expenditure,South America,"$2,112,373,122.91 ","$2,043,134,811.52 ","$2,103,460,609.69 ","$1,893,098,223.76 ","$1,779,553,137.66 ","$2,067,983,997.64 ","$2,687,320,865.78 ","$3,100,391,590.80 ","$3,855,358,068.93 ","$4,022,478,103.75 ","$4,641,877,575.55 ","$3,902,221,588.28 ","$4,894,081,125.10 ","$5,686,752,069.60 ","$5,466,101,782.02 ","$5,529,879,480.61 ","$5,102,779,355.76 ","$4,630,772,773.72 ","$4,796,010,962.09 ","$5,370,018,134.87 ","$5,570,724,562.67 "
Colombia,Military Expenditure,South America,"$3,389,806,737.54 ","$3,247,296,766.37 ","$3,027,922,793.24 ","$3,264,438,192.23 ","$3,347,522,601.67 ","$3,278,369,502.89 ","$4,056,896,991.19 ","$4,914,190,181.96 ","$5,326,664,238.46 ","$6,775,762,766.51 ","$9,051,130,501.95 ","$9,033,202,672.52 ","$10,422,054,493.65 ","$10,306,578,505.96 ","$11,706,271,912.74 ","$12,503,812,627.42 ","$11,845,957,098.18 ","$9,127,165,374.89 ","$8,675,980,822.76 ","$10,018,029,817.58 ","$10,602,860,966.74 "
Ecuador,Military Expenditure,South America,"$549,000,000.00 ","$296,000,000.00 ","$266,000,000.00 ","$384,000,000.00 ","$505,000,000.00 ","$739,000,000.00 ","$710,000,000.00 ","$954,000,000.00 ","$950,000,000.00 ","$1,310,000,000.00 ","$1,646,000,000.00 ","$1,949,000,000.00 ","$2,094,000,000.00 ","$2,453,700,000.00 ","$2,589,776,000.00 ","$2,735,825,000.00 ","$2,786,519,000.00 ","$2,597,510,000.00 ","$2,513,200,000.00 ","$2,462,700,000.00 ","$2,549,400,000.00 "
Guyana,Military Expenditure,South America,. .,. .,"$12,585,649.29 ","$14,371,052.90 ","$16,652,243.46 ","$16,345,330.57 ","$22,132,238.74 ","$18,506,566.60 ","$19,176,973.64 ","$24,971,954.12 ","$30,520,593.42 ","$31,055,650.89 ","$31,075,055.49 ","$32,416,747.54 ","$33,542,606.60 ","$35,163,485.79 ","$39,280,999.18 ","$46,447,838.13 ","$51,562,130.82 ","$59,724,939.47 ","$59,809,426.60 "
Paraguay,Military Expenditure,South America,"$139,262,988.04 ","$116,553,254.86 ","$110,248,167.20 ","$91,298,893.93 ","$69,892,741.29 ","$63,511,880.06 ","$84,466,986.26 ","$77,468,937.97 ","$106,557,406.14 ","$132,393,616.18 ","$168,154,857.40 ","$168,486,261.90 ","$204,605,254.82 ","$285,106,240.84 ","$320,909,756.56 ","$371,215,575.36 ","$398,370,979.27 ","$386,538,864.26 ","$343,232,340.56 ","$348,179,657.47 ","$386,556,389.59 "
Peru,Military Expenditure,South America,"$1,141,808,873.72 ","$992,217,726.32 ","$912,005,730.66 ","$904,235,449.11 ","$839,613,251.81 ","$891,253,913.36 ","$922,046,074.47 ","$1,203,039,421.38 ","$1,291,060,139.52 ","$1,332,655,375.71 ","$1,503,663,891.38 ","$1,848,562,930.06 ","$2,178,945,723.33 ","$2,355,167,833.85 ","$2,857,983,382.20 ","$3,305,451,871.32 ","$3,217,579,346.41 ","$3,312,214,570.19 ","$2,536,072,334.81 ","$2,665,785,313.30 ","$2,708,912,280.27 "
Uruguay,Military Expenditure,South America,"$573,248,407.64 ","$574,285,890.66 ","$555,968,792.36 ","$523,008,311.37 ","$344,263,066.28 ","$269,526,777.20 ","$279,301,971.52 ","$347,323,784.86 ","$392,798,690.67 ","$416,045,332.54 ","$567,703,932.83 ","$577,056,008.51 ","$755,659,469.67 ","$824,833,542.16 ","$924,640,335.59 ","$1,045,084,368.41 ","$1,034,500,559.24 ","$969,906,845.52 ","$988,223,629.63 ","$1,165,710,348.54 ","$1,168,130,813.74 "
Venezuela,Military Expenditure,South America,"$1,450,963,991.62 ","$1,408,064,715.84 ","$1,788,322,080.34 ","$1,911,400,136.53 ","$1,071,363,969.16 ","$987,890,177.73 ","$1,448,715,982.93 ","$2,665,390,596.96 ","$3,630,088,495.58 ","$4,351,560,316.72 ","$5,660,456,450.86 ","$4,055,379,599.44 ","$3,991,194,834.74 ","$3,577,531,587.44 ","$5,114,847,099.99 ","$6,199,698,500.16 ","$1,554,727,108.24 ","$320,539,157.96 ","$218,154,892.93 ","$464,821,762.58 ",. .
Kazakhstan,Military Expenditure,Central Asia,"$242,646,223.08 ","$143,905,357.13 ","$143,527,541.11 ","$221,486,206.52 ","$245,956,719.45 ","$317,564,315.13 ","$426,441,724.56 ","$591,985,249.85 ","$793,027,147.49 ","$1,359,776,098.70 ","$1,540,810,813.06 ","$1,271,890,275.73 ","$1,501,815,343.90 ","$1,803,970,781.81 ","$2,177,543,205.49 ","$2,551,124,374.71 ","$2,306,464,574.31 ","$2,046,197,674.33 ","$1,281,103,431.98 ","$1,390,619,095.25 ","$1,613,589,333.20 "
Kyrgyzstan,Military Expenditure,Central Asia,"$26,092,304.30 ","$23,133,179.47 ","$25,794,155.81 ","$22,212,067.21 ","$25,933,378.39 ","$32,603,112.03 ","$37,238,358.12 ","$39,718,288.70 ","$47,207,036.73 ","$50,909,587.10 ","$61,124,321.93 ","$67,213,747.35 ","$77,237,992.31 ","$86,423,386.41 ","$107,529,842.88 ","$119,000,613.91 ","$127,970,989.41 ","$117,003,250.57 ","$115,645,311.81 ","$121,515,805.36 ","$121,163,619.90 "
Tajikistan,Military Expenditure,Central Asia,"$22,613,230.32 ","$15,126,152.26 ","$10,353,281.16 ","$12,468,225.56 ","$25,577,668.20 ","$34,788,346.39 ","$45,110,098.94 ",. .,. .,. .,"$52,467,120.60 ","$47,529,274.32 ","$53,756,933.71 ","$71,342,116.79 ","$76,260,471.83 ",. .,"$104,280,653.97 ","$95,763,184.88 ",. .,. .,. .
Turkmenistan,Military Expenditure,Central Asia,"$87,510,040.16 ","$111,923,076.92 ",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Uzbekistan,Military Expenditure,Central Asia,. .,"$250,071,736.01 ","$115,375,384.62 ","$59,760,610.47 ","$45,914,432.99 ","$54,133,695.46 ",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
China,Military Expenditure,East Asia,"$17,527,989,868.54 ","$21,027,341,241.60 ","$22,929,764,606.64 ","$27,875,387,283.61 ","$32,137,735,649.11 ","$35,126,306,608.06 ","$40,352,713,136.13 ","$45,918,881,613.31 ","$55,337,487,669.14 ","$68,011,562,228.48 ","$86,362,099,112.78 ","$105,644,214,526.41 ","$115,711,781,066.34 ","$137,967,304,294.48 ","$157,390,377,245.80 ","$179,880,451,357.74 ","$200,772,203,839.98 ","$214,093,069,946.25 ","$216,031,280,078.82 ","$227,829,417,915.78 ","$249,996,900,635.14 "
Japan,Military Expenditure,East Asia,"$37,849,012,642.76 ","$43,122,898,504.92 ","$45,509,673,827.31 ","$40,757,967,234.16 ","$39,333,708,169.84 ","$42,486,177,361.06 ","$45,339,809,414.66 ","$44,300,613,329.95 ","$41,552,592,885.58 ","$40,530,045,688.47 ","$46,361,468,280.46 ","$51,465,158,207.59 ","$54,655,450,735.31 ","$60,762,213,840.89 ","$60,011,530,194.70 ","$49,023,932,406.86 ","$46,881,244,398.32 ","$42,106,103,305.79 ","$46,471,287,714.25 ","$45,387,031,801.87 ","$46,617,954,863.95 "
"Korea, North",Military Expenditure,East Asia,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
"Korea, South",Military Expenditure,East Asia,"$10,457,957,529.40 ","$12,095,186,823.91 ","$13,801,107,024.12 ","$12,941,850,827.66 ","$14,101,703,314.71 ","$15,847,047,272.18 ","$17,829,864,142.77 ","$22,159,512,557.12 ","$25,177,237,741.03 ","$27,726,129,585.25 ","$26,072,410,507.69 ","$24,575,661,939.18 ","$28,175,181,218.97 ","$30,991,707,946.48 ","$31,951,760,810.32 ","$34,311,220,715.17 ","$37,552,328,673.45 ","$36,570,769,322.57 ","$36,885,283,430.02 ","$39,170,682,135.62 ","$43,069,973,342.88 "
